img,forehand,backhand,none
The Best Plays of US Open 2019.mp4_57.82_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_18.62_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_37.38_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_39.48_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_30.52_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_32.27_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_88.97_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_79.03_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_91.84_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_62.65_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_10.43_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_36.4_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_73.57_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_17.29_100_0.06666666666666667.jpg,0,0,1
