img,forehand,backhand,none
The Best Plays of US Open 2019.mp4_0.14_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_0.21_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_0.28_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_0.35_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_0.42_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_0.49_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_0.56_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_0.63_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_0.77_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_0.7_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_0.84_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_0.91_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_0.98_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.05_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.12_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.19_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.26_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.33_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.47_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.4_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.54_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.61_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.68_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.75_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.82_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.89_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_1.96_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_10.01_100_0.06666666666666667.jpg,0,0,1
The Best Plays of US Open 2019.mp4_10.08_100_0.06666666666666667.jpg,0,0,1
